compani,"[3228.1741718690537, 'NN']"
2017,"[2148.4072911670128, 'CD']"
new,"[2065.8971821380032, 'JJ']"
first,"[1877.7760039250002, 'JJ']"
1,"[1792.219579197, 'CD']"
3,"[1672.5661341200032, 'CD']"
2016,"[1659.181493824004, 'CD']"
also,"[1559.233790090999, 'RB']"
and,"[1482.0732180519972, 'CC']"
last,"[1368.8107819020026, 'JJ']"
sale,"[1347.0092261410043, 'NNS']"
said,"[1138.377714929998, 'VBD']"
strong,"[1046.6524546810003, 'JJ']"
8,"[1029.0765375520023, 'CD']"
would,"[1014.9962208339986, 'MD']"
think,"[991.5946250160026, 'VBZ']"
basi,"[987.9057595730002, 'NN']"
make,"[976.4214933000012, 'VBZ']"
term,"[948.5551081729998, 'NN']"
second,"[946.7877812229995, 'JJ']"
could,"[932.3420232649994, 'MD']"
may,"[910.5750026009994, 'MD']"
high,"[885.3160546630015, 'JJ']"
6,"[881.7674473779998, 'CD']"
still,"[862.9907514650017, 'RB']"
4,"[853.2468376390012, 'CD']"
base,"[851.2380813990014, 'VBN']"
full,"[835.7181859329996, 'JJ']"
day,"[809.0692768030012, 'NNS']"
0,"[806.3172523040016, 'CD']"
next,"[805.1084621309996, 'JJ']"
remain,"[789.7875568820002, 'VB']"
take,"[772.2170204880006, 'VBZ']"
10,"[771.9443136840001, 'CD']"
2,"[736.7075698730007, 'CD']"
two,"[726.5809150190003, 'CD']"
much,"[717.8737147429997, 'JJ']"
well,"[700.2793528330013, 'RB']"
better,"[680.7844359040005, 'JJR']"
net,"[678.3885882190004, 'JJ']"
grew,"[670.6754155090013, 'VBD']"
good,"[663.5455374499999, 'JJ']"
jump,"[644.4817438120006, 'VBN']"
statement,"[644.2560041179986, 'NN']"
get,"[640.9189362540003, 'VB']"
whi,"[634.7079267290006, 'WRB']"
16,"[624.8768032510009, 'CD']"
realli,"[617.7955350500004, 'RB']"
countri,"[615.5446296329998, 'NN']"
peopl,"[615.4470234039999, 'NNS']"
know,"[599.6384705439993, 'VBZ']"
three,"[589.7467865349997, 'CD']"
higher,"[579.8460766149999, 'JJR']"
earli,"[570.924702741, 'JJ']"
short,"[570.806769230001, 'JJ']"
thing,"[568.9851864729995, 'NN']"
financi,"[532.2428182470001, 'JJ']"
howev,"[523.8298957559999, 'RB']"
abl,"[517.6745920890002, 'JJ']"
payment,"[508.4753628790003, 'NNS']"
best,"[499.55838060199994, 'JJS']"
5,"[496.3440871590019, 'CD']"
recent,"[491.1601667789996, 'JJ']"
9,"[490.6160614860004, 'CD']"
invest,"[487.82123159799977, 'VBG']"
ahead,"[487.6129765100001, 'RB']"
russian,"[485.1826080679999, 'JJ']"
due,"[476.59236713599995, 'JJ']"
current,"[469.6318187619996, 'JJ']"
investor,"[466.8491623909996, 'NNS']"
articl,"[466.3277207919997, 'NNS']"
incom,"[460.3951687279997, 'NN']"
17,"[457.33396440900026, 'CD']"
30,"[443.022542369, 'CD']"
long,"[442.9364592080002, 'JJ']"
lot,"[439.91158627200014, 'NN']"
tax,"[437.8513367630006, 'NNS']"
000,"[435.27603482400036, 'CD']"
now,"[429.289448759, 'RB']"
15,"[425.1300607449998, 'CD']"
talk,"[422.773965871, 'VB']"
low,"[416.0979812569999, 'JJ']"
even,"[408.5704129420002, 'RB']"
past,"[405.5605085559996, 'JJ']"
key,"[403.97824475199974, 'JJ']"
23,"[403.0045126660004, 'CD']"
signific,"[399.1781958050001, 'JJ']"
dollar,"[398.9351219350004, 'NNS']"
hail,"[397.970625001, 'VB']"
big,"[393.3181734980002, 'JJ']"
period,"[377.6165946159988, 'NN']"
competitor,"[377.4528740439998, 'NNS']"
posit,"[376.7253521570004, 'JJ']"
activ,"[374.9948863669997, 'JJ']"
so,"[373.23830631400006, 'RB']"
31,"[370.67237535800007, 'CD']"
merg,"[364.98726272100004, 'VB']"
what,"[363.6948108300002, 'WP']"
reach,"[361.239317635, 'VBD']"
climb,"[356.07152068700015, 'VBG']"
21,"[352.518713476, 'CD']"
major,"[350.9791087830002, 'JJ']"
is,"[349.61888557199984, 'VBZ']"
prior,"[348.159477777, 'JJ']"
adjust,"[343.34643763199915, 'JJ']"
soar,"[342.34932249099995, 'VB']"
system,"[341.993356768999, 'NN']"
fact,"[338.63598551600023, 'NN']"
import,"[335.6917545020001, 'JJ']"
quarter,"[331.19106286299996, 'JJ']"
effort,"[330.7161181099999, 'NNS']"
acquisit,"[329.17013821499944, 'NN']"
40,"[328.5828744630002, 'CD']"
way,"[327.31635426599985, 'NN']"
avail,"[326.83867915699955, 'JJ']"
there,"[326.2825684120002, 'EX']"
rose,"[326.2293641149995, 'VBD']"
19,"[325.91558122999993, 'CD']"
turn,"[324.2599365699997, 'VBD']"
500,"[324.17024822100007, 'CD']"
news,"[321.28482008599997, 'NN']"
employe,"[320.0972040990001, 'NN']"
2015,"[319.5534748559999, 'CD']"
led,"[317.48217976999985, 'VBN']"
tv,"[317.3046068499999, 'NN']"
littl,"[316.4793294589999, 'JJ']"
gain,"[314.37407061299996, 'VBN']"
chief,"[313.3893508709999, 'JJ']"
accord,"[312.7954996469997, 'VBG']"
22,"[307.44524427800013, 'CD']"
made,"[305.45473924099997, 'VBD']"
might,"[299.4338733190002, 'MD']"
suggest,"[298.47146882799984, 'VBP']"
like,"[297.2832057750003, 'JJ']"
option,"[296.69551855700007, 'NNS']"
consid,"[296.2063625360001, 'VB']"
that,"[296.1174287199998, 'WDT']"
intern,"[292.11811175399987, 'JJ']"
allow,"[291.6689580479999, 'VBD']"
sever,"[284.15348083499987, 'JJ']"
bullish,"[283.93372008399996, 'JJ']"
food,"[282.7167679740004, 'NN']"
add,"[282.240400025, 'VB']"
month,"[281.89246164299993, 'JJ']"
here,"[281.10672910599993, 'RB']"
surg,"[277.93815334400006, 'VBD']"
confer,"[277.2077227049997, 'NN']"
rise,"[277.06468951599993, 'VBP']"
debt,"[276.8220752049999, 'NN']"
currenc,"[276.65699298199985, 'NNS']"
media,"[275.332880856, 'NNS']"
almost,"[274.93969519100017, 'RB']"
top,"[268.7124008859998, 'JJ']"
intermedi,"[268.62848804699996, 'JJ']"
money,"[267.7792839159997, 'NN']"
live,"[265.743316798, 'JJ']"
lower,"[261.4573176879995, 'JJR']"
unlimit,"[257.18393345000004, 'JJ']"
chang,"[251.40572073100003, 'VBD']"
potenti,"[250.87666815200004, 'JJ']"
user,"[250.82683207499997, 'JJ']"
roll,"[250.60274094399998, 'VBN']"
certain,"[250.1169691480001, 'JJ']"
digit,"[248.50085524699972, 'JJ']"
saw,"[246.03303819399986, 'VBD']"
total,"[245.28320218299945, 'JJ']"
11,"[245.0606100729995, 'CD']"
overal,"[243.89717214900006, 'JJ']"
offer,"[243.2580788279996, 'VBG']"
session,"[242.68455243999998, 'NN']"
clinic,"[240.59362107299978, 'JJ']"
releas,"[240.13558195000002, 'VBN']"
100,"[239.78880047899972, 'CD']"
latest,"[237.66388639499976, 'JJS']"
rather,"[237.07963916199998, 'RB']"
mayb,"[235.94471896699977, 'RB']"
public,"[233.934083425, 'JJ']"
actual,"[233.68570006099992, 'JJ']"
came,"[233.5674931439999, 'VBD']"
wrote,"[233.38259908299992, 'VBD']"
initi,"[233.09115221399992, 'JJ']"
non,"[232.66367601999949, 'JJ']"
offic,"[232.559507416, 'NN']"
player,"[230.79281250699995, 'NNS']"
27,"[230.16413968499998, 'CD']"
happen,"[228.69672931799985, 'VBD']"
global,"[228.5174530549998, 'JJ']"
2014,"[225.07677462, 'CD']"
yet,"[225.06113282599992, 'RB']"
groceri,"[224.2788558010003, 'NN']"
narrow,"[223.57511686, 'JJ']"
continu,"[222.96060933599992, 'JJ']"
audienc,"[222.446019197, 'NN']"
real,"[222.13177171599997, 'JJ']"
highest,"[221.854574244, 'JJS']"
everyon,"[221.165035375, 'NN']"
small,"[221.03299919499992, 'JJ']"
competit,"[220.9005468889999, 'JJ']"
seri,"[220.7509219149999, 'NN']"
69,"[218.25216705199995, 'CD']"
59,"[218.07235816599987, 'CD']"
browser,"[217.43048917799996, 'NN']"
play,"[216.39100668500004, 'VBN']"
13,"[215.96689848999986, 'CD']"
late,"[215.69332264499997, 'JJ']"
exampl,"[215.0076385169999, 'NN']"
keep,"[214.48126464200016, 'VB']"
joint,"[212.79226965200002, 'JJ']"
18,"[212.6660427579997, 'CD']"
aortic,"[210.93348618799993, 'JJ']"
singl,"[210.1137278759999, 'JJ']"
area,"[210.05704921199987, 'NN']"
agreement,"[209.23971052699983, 'NN']"
properti,"[206.70638308299985, 'NN']"
25,"[205.06256215999994, 'CD']"
creat,"[204.53096561899997, 'VB']"
profit,"[204.11913504600005, 'JJ']"
put,"[203.79202014999981, 'VB']"
2018,"[203.17033315400005, 'CD']"
percent,"[201.92012941699994, 'JJ']"
similar,"[201.80760488900003, 'JJ']"
chines,"[201.77087287900005, 'JJ']"
differ,"[201.30325266899985, 'JJ']"
citi,"[199.43011691699996, 'NN']"
doubl,"[198.67026372699993, 'JJ']"
mani,"[197.7332809720001, 'JJ']"
local,"[196.90946321400003, 'JJ']"
metric,"[196.44907009799994, 'JJ']"
under,"[196.01800289399998, 'JJ']"
declin,"[195.87610678800007, 'VBD']"
run,"[194.83451211899998, 'VBZ']"
mitral,"[194.43556837099982, 'JJ']"
far,"[194.356283535, 'RB']"
leader,"[192.286223141, 'NN']"
possibl,"[191.04288329499994, 'JJ']"
foreign,"[190.85277298899985, 'JJ']"
abil,"[187.97910856500005, 'NN']"
join,"[185.83101852499993, 'VB']"
stronger,"[183.37112971199997, 'JJR']"
36,"[182.7480674299999, 'CD']"
sure,"[179.99706153299974, 'JJ']"
alway,"[179.62405999199999, 'RB']"
37,"[179.60869982199992, 'CD']"
annual,"[179.36772254599998, 'JJ']"
dividend,"[178.5455940049999, 'NNS']"
alon,"[178.21582061700005, 'RB']"
face,"[177.992251178, 'VBG']"
consist,"[175.80240613799995, 'JJ']"
parti,"[175.47275597799998, 'NN']"
four,"[172.76360995799996, 'CD']"
newli,"[172.25644698899995, 'RB']"
case,"[171.05668116399985, 'NN']"
given,"[169.55361396599992, 'VBN']"
car,"[167.56883499700035, 'NNS']"
pick,"[167.54015204000004, 'VBD']"
outlook,"[166.56565384199988, 'NN']"
border,"[166.53234680399987, 'NN']"
econom,"[166.2140850339999, 'JJ']"
seen,"[164.99700180099995, 'VBN']"
true,"[164.98015141200003, 'JJ']"
225,"[164.895840747, 'CD']"
hour,"[164.36681515699985, 'NNS']"
got,"[164.08485677299996, 'VBD']"
01,"[163.83684107900004, 'CD']"
futur,"[163.8301295019999, 'JJ']"
percentag,"[163.49579558699995, 'NN']"
polici,"[163.405586389, 'NN']"
whole,"[162.5970934579999, 'JJ']"
confirm,"[162.539474785, 'VBD']"
strength,"[162.01511772, 'NN']"
around,"[161.86464390600003, 'RB']"
less,"[161.76806041300006, 'JJR']"
400,"[159.3622615829999, 'CD']"
surgic,"[159.01721841199998, 'JJ']"
largest,"[158.93029326000004, 'JJS']"
yandex,"[157.897145947, 'VB']"
analyst,"[157.50207272800048, 'NN']"
52,"[157.30626699599998, 'CD']"
conserv,"[157.01189211799996, 'JJ']"
free,"[156.33591839300007, 'JJ']"
prepar,"[155.76923724699992, 'JJ']"
specif,"[155.158980369, 'JJ']"
meaning,"[155.004398611, 'JJ']"
encourag,"[154.75401505099998, 'JJ']"
24,"[154.51648244900008, 'CD']"
letter,"[154.32082599299997, 'NN']"
20,"[153.93581812200003, 'CD']"
treatment,"[153.90280995799998, 'NN']"
goal,"[153.47656003999992, 'NN']"
close,"[153.35291786099987, 'JJ']"
pacemak,"[152.155714028, 'NN']"
consolid,"[151.31929441599996, 'JJ']"
73,"[150.179419908, 'CD']"
settlement,"[150.15987838299995, 'NN']"
world,"[150.09572830100015, 'NN']"
version,"[150.02766642200007, 'NNS']"
serv,"[149.409655844, 'VB']"
stenosi,"[147.89437770499995, 'NN']"
analysi,"[146.37564045899995, 'NN']"
director,"[146.15534357500002, 'NNS']"
optimist,"[145.91555270099997, 'JJ']"
effect,"[145.83767510999996, 'JJ']"
